,RN,Title_eng,AB_eng
154,3307,"Rarity and coexistence of a small hibernator, Zapus hudsonius, with fluctuating populations of Microtus pennsylvanicus in the grasslands of southern Ontario","Zapus populations competed with, and were perennially low because of Microtus populations because of the lag times caused by peculiarities of Zapus life-history traits (hibernation and 1 or 2 litters per year) and because of short periods when Microtus populations are declining or low.-from Authors"
155,2089,Population limitation of the northern red-backed vole in the boreal forests of northern Canada,"1. Across the vast boreal forests of North America, no population cycles in Clethrionomys species occur. In Eurasia, by contrast, some Clethrionomys populations of the same species undergo regular 3-5-year cycles. We examined the effects of nutrients, food, competitors, predators and climate on population limitation in the northern red-backed vole (Clethrionomys rutilus Pallas) in the south-western Yukon to determine why this difference occurs.2. From 1986 to 1996 we added food, reduced large mammal predators and excluded snowshoe hares (Lepus americanus Erxleben) from large plots and found that none of these manipulations affected red-backed vole abundance. Adding nutrients as nitrogen, phosphorus and potassium (NPK) fertilizer had a slight negative effect, probably acting through a reduction in dwarf shrub productivity caused by competition from grasses.3. We monitored weasel populations directly through trapping and indirectly through snow tracking. Predation by these vole specialists was irrelevant as a limiting factor most of the time because voles in this area do not reach the densities needed to sustain weasel populations. Other boreal forest mammal and bird predators did not focus on red-backed voles. However, when red-backed vole populations increased in the forest and Microtus voles also increased in the meadows, weasel populations increased and may have temporarily depressed red-backed voles in winter.4. We monitored one major potential food, white spruce seeds, but seed fall was not related to population changes in red-backed voles, even after mast years.5. We assessed the impact of weather variables, and the average depth of the snow pack during winter (October-March) was correlated directly with vole demography, having both direct effects in that year and delayed effects in the following year.6. Our long-term trapping data (1973-96) indicate that Clethrionomys populations fluctuated, with peaks following hare peaks by 2-3 years.7. We propose that the key variable limiting these vole populations is overwinter survival, and this is a function of overwinter food from berries produced during the previous summer by dwarf shrubs. These shrubs may be stimulated by abundant moisture from winter snows or by periodic fertilization from large quantities of pellets produced at snowshoe hare peaks."
156,852,Population cycles in small mammals: the problem of explaining the low phase,"Cycles characterize the demography of many populations of microtine rodents and snowshoe hares. A phase of low numbers often follows the decline and introduces a lag that lengthens the cycle. This low can last 1-3 yr in microtines and 2-4 yr in hares. Understanding the low phase is critical in explaining population cycles. Two major classes of hypotheses try to account for the low phase. The first proposes that something may be 'wrong' with the extrinsic environment. The most promising of these extrinsic explanations is that predation, acting either directly or indirectly, has delayed density-dependent effects on prey populations during the low phase. The second class of hypotheses proposes that something may be 'wrong' with the animals themselves. The most likely intrinsic factors are maternal effects or age effects on fitness during the low phase. Experimental tests for each of these sets of hypotheses are needed, and we suggest replicated experiments on focal species in two continents to resolve these unknowns."
157,3840,"Elephant poaching in Niassa Reserve, Mozambique: population impact revealed by combined survey trends for live elephants and carcasses","Trends in the populations of large herbivores in Niassa Reserve, Mozambique, have been monitored through biennial aerial surveys since 1998. The elephant Loxodonta africana population has been subjected to intensive illegal hunting since 2006. We used a simple population model to mimic the observed trends in the numbers of live and dead elephants to demonstrate the impact of poaching. The number of fresh or recent carcasses recorded was used in the model as an index of the annual mortality rate. A maximum likelihood analysis to compare population models revealed that the best fit to the survey estimates of both live elephants and old or very old carcasses was a model that started with 6,635 elephants in 1987. This number increased through births by 4.6% annually and decreased through deaths from natural and anthropogenic causes. In the best-fit model, the mean mortality rate in any year was 3.2 times the observed 1 + 2 carcass ratio (ratio for carcasses in age categories 1 and 2), and carcasses remained visible for a mean of 6 years. The model suggested that c. 900 elephants were poached during 20072010 and another c. 1,000 during 2011. Population estimates for live elephants and carcasses are now routine outcomes of aerial surveys conducted as part of the CITES programme for Monitoring the Illegal Killing of Elephants, and our method can be applied to any population with a time series of estimates for live and dead elephants."
158,2427,Dynamics of the colonization process in reintroduced populations of the Alpine marmot,"The project of marmot reintroduction in the Dolomiti Bellunesi National Park started in 2006. In May 2006 and May 2007, 80 ear-marked (by sex and family) marmots were released in two separate areas (20 ind./year/area). In summer 2008 the populations produced 36 and 39 individuals, respectively; the animals born in the areas exceeded the number of released animals that survived. Only one pair bred successfully in the year of release; 87.5% of the surviving pairs bred the following year, including the pair breeding the previous year. We recorded the reproduction of a single female, and the acceptance of the litter by the male who later joined her. Mortality of the animals released in 2006 was 39% before the first winter and increased to 53.6% after the second summer. The first summer mortality of animals released in 2007 was higher, probably because of greater predation by golden eagles. The population density increased in late summer 2008 to 13.5 and 22.2 family units/100 ha, respectively in the two areas. In 2006, when both areas were uninhabited, the mean dispersion distance from the release site to settlement sites was greater in males than in females. Sixty-one per cent of the settlements consisted of pairs; 33%, a single male; and 6%, of a trio (marmots from different families). The single males settled more distantly than paired males. Of all the possible ""same-family composed"" pairs, 77.6% occurred."
159,3302,Fish assemblages in a north Atlantic coastal ecosystem: Spatial patterns and environmental correlates,"Analyses of six years of bottom trawl data collected from Northumberland Strait, southern Gulf of St. Lawrence revealed four major fish assemblages, two of which occurred in the same two geographic areas each year. One of the two persistent assemblages occurred in deeper water off northwestern Prince Edward Island and consisted mostly of demersal fishes. The other persistent assemblage contained a mixture of demersal and pelagic fishes and occurred primarily in shallow water of central Northumberland Strait. Analyses of abiotic (depth, bottom temperature, substratum type) and biotic (presence of American lobster Homarus americanus, northern lady crab Ovalipes ocellatus) factors revealed bottom temperature and catches of lady crab correlate best with the fish assemblage structure each year, but correlation values were low (ρw ≤ 0.48). Combinations of all abiotic and biotic variables only marginally improved the strength of the correlations in four of six years (2002, 2003, 2005, 2006). Changes observed in the Northumberland Strait ecosystem over the six years included an increase in the ratio of pelagic to demersal fishes, disappearance of one of the four assemblages, and increased spatial overlap between the two persistent assemblages, which coincided with an increase in bottom temperature. The increasing importance of pelagic fishes, relative to demersal fishes, suggests a shift in food web structure may be occurring in Northumberland Strait. "
160,4461,Historic decline and recent increase of Burbot (Lota lota) in the Netherlands,"In the Netherlands, Burbot Lota lota have severely declined due to aquatic system modifications and agricultural intensification. The aim of this study was to evaluate the species distribution and population trends and to interpret its decline for conservation and management-planning. Historic and present distributions were examined by GIS analysis, while the decline was quantified using binary logistic regression of presence-absence data. Records suggest that at the beginning of the twentieth century the overall Burbot population was relatively stable but reached a turning point from a positive to a negative population phase around 1950. Today, only two areas with spawning populations remain. Recently, increasing numbers of Burbot have been recorded in one of these areas, viz. the lakes in the confluence area of the rivers Vechte; and IJssel. This increase could be attributed to annual stockings in German reaches of the River Vechte since 2001, with stock material originating from the rivers Elbe and Weser. Because of the low numbers in which Burbot populations were present and the risks of introduction of non-local stock, Burbot requires imperative tools and action plans for recovery and conservation in the Netherlands."
161,4475,"Stock identification of Rajaclavata L. (Chondrichthyes, Rajidae) in two contiguous areas of the Mediterranean","The abundance, occurrence, biological features, growth and mortality parameters of the thornback ray, Raja clavata L. 1758 (Rajformes, Rajidae), coming from two contiguous areas of the Strait of Sicily (Central Mediterranean Sea) were analysed in order to discriminate the stocks. The two investigated areas include bottoms off southern Sicily (I-G16) and bottoms further at large (O-G16). The density indexes, biomass indexes and occurrences were substantially lower in I-G16 than O-G16. On the contrary, the biological traits were more similar, although significant differences were detected in the sex ratio, in the median total length of all specimens, in the length frequency distribution, in the estimated maximum length and in the female length-weight slope parameter. The median length of fully mature specimens did not significantly differ between the two areas. The von Bertalanffys asymptotic length and the ratio of total mortality/von Bertalanffys curvature parameter suggest a total mortality higher in the I-G16 than the O-G16 populations. This article supports the hypothesis that the investigated populations, in spite of a similar original life cycle, have evolved in two distinct unit stocks as a consequence of the different fishing efforts and the low-intermingling rate between the two areas."
162,3839,Game over! Wildlife collapse in northern Central African Republic,"The wildlife populations of northern Central African Republic (CAR) have long suffered intense uncontrolled hunting. Socio-political turmoil in northern CAR that started in 2002 resulted in a rebellion in 2006. An aerial sample count was carried out in northern CAR after the ceasefire to assess the impact of this troubled period on wildlife. The survey was flown at the end of the dry season in FebruaryMarch 2010. It covered a landscape complex of 95,000 km² comprising national parks, hunting reserves and community hunting areas. Comparison with earlier surveys revealed a dramatic; decline of wildlife: the numbers of large mammals fell by 94% in 30 years, probably due to poaching, loss of habitat and diseases brought by illegal movements of cattle. Elephant (Loxodonta africana), Reduncinae and topi (Damaliscus lunatus) populations showed the greatest decline (each over 90%). Other species declined by 7080% during the same period. The future of wildlife in this area is dark without a strong commitment to provide adequate funding and quickly implement of determined field management. Reinforced cooperation with neighbouring Chad and Sudan is required since they are facing similar problems."
163,3672,The rise and fall of the Aldabran giant tortoise population,"At the end of the 19th century, after prolonged and extensive harvesting, indigenous giant tortoises had been eliminated from all islands in the Indian Ocean, except Aldabra atoll, where only a few survived. With greatly reduced levels of exploitation during the 20th century, the population recovered to a revised estimated total of 129 000 in 1973 to 1974, when the first sample census was conducted. A repeat census in 1997 revealed a highly significant reduction in numbers over the past 24 years to an estimated total of 100,000. The great majority of tortoises are still found at relatively high density in southeastern Grande Terre, where the number of animals has declined by more than a third. In contrast, lowdensity subpopulations on Malabar and Picard have almost doubled in size, but they represent less than 5% of the total population. Corroborative evidence for the crash in the Grande Terre subpopulation comes from two independent observations: a significant increase in tortoise mortality; and a significant decline in tortoise counts on longterm population monitoring transects. These population changes are attributed to natural population regulatory mechanisms, exacerbated by low rainfall years in the period 1980 to 1997, including two consecutive years of below average rainfall in 1995 to 1996 and 1996 to 1997."
164,1016,The status and recent breeding performance of the critically endangered Northern Bald Ibis Geronticus eremita population on the Atlantic coast of Morocco.,"The main wild population of the Northern Bald Ibis Geronticus eremita breeds on the Atlantic coast of Morocco in the Agadir region. This paper describes the numbers of breeding pairs over the last two decades, the recent breeding performance, the causes of egg and chick losses and their conservation implications. Since 1980 there has been no overall decline in numbers with, over the last 5 years, 59-74 pairs breeding and a peak prebreeding population of around 220 birds. In contrast with the now extinct Northern Bald Ibis populations in Turkey and elsewhere in Morocco, the birds are present in the Agadir region throughout the year and do not appear to migrate from the area outside the breeding season. Breeding performance is highly variable from one year to the next but does not appear to be related to rainfall in the vicinity of the colonies as has been reported elsewhere. It is suggested that coastal fogs in this region may buffer the adverse impacts of low rainfall and may in part account for the year-round residency of the birds. The main causes of breeding failures have been loss of eggs to predators and, most importantly, poor chick survival as a result of starvation and predation. Conservation action to date has focused on reducing the negative influences on breeding success but it is recognized that for such a long-lived bird adult survival is also likely to be an important limiting factor on the population size."
165,2071,Human recreation and the nesting ecology of a freshwater turtle (Chrysemys picta),"Over a 3-year period, we studied the relationship between the intensity of human recreation and the nesting ecology of the painted turtle (Chrysemys picta) at a major nesting beach. Our results suggest that the intensity of human recreation at this site had no effect on the decision of turtles to emerge from the water and nest, or on habitat selection by nesting turtles. This apparent lack of effect of human recreation is contrary to the results of many previously published studies on other taxa and underscores the variability in wildlife responses to human recreation and the need for species-specific and population-specific studies."
166,1893,Fluctuations in numbers of great white pelicans at Lake St Lucia in response to changing water-levels,"In January 2004, Lake St Lucia, a major part of the Greater St Lucia Wetland Park, was reduced to a fraction of its normal capacity as a result of a severe drought in this region of KwaZulu-Natal, South Africa. After rains in the area, the lake level rose and then fluctuated considerably over the next 42 months. During the first 38 months the mouth of the estuary into the sea was closed. The area entered a second severe period of prolonged drought from mid 2005 through to the spring of 2006. Great white pelican (Pelecanus onocrotalus Linnaeus, 1758) numbers and lake levels were monitored during these 42 months. Pelican numbers were highly variable ranging from 0 to 6000. When lake levels were very low or too high, no pelicans were present. Pelican numbers appeared more indicative of food availability. Implications of these trends to the management of the lake and the conservation of the avifauna are discussed. It is suggested that the great white pelican could be used as an indicator species for the fish dynamics of the lake at medium to low lake levels. "
167,3300,Numerical response of fishers to synchronous prey dynamics,"Fisher (Martes pennanti) populations may respond numerically to fluctuating hare populations, although uncertainty remains about this contention. We analyzed livetrapping data from Ontario (448,654 trap nights) that contained trend information for fishers, lagomorphs (snowshoe hares [Lepus americanus] and eastern cottontails [Sylvilagus floridanus]), and North American porcupines (Erethizon dorsatum) for 1995-2004. The data encompassed a synchronous fluctuation of lagomorphs and porcupines. Fisher populations appeared to have a delayed, positive numerical response with a lag of 2 years to changing lagomorph abundance, but they also appeared to switch to an unmeasured, alternate prey during the lagomorph low. This finding suggests that fishers are generalist predators that should have a stabilizing effect on the predator-prey system. "
168,3327,Spatial and temporal dynamics of small mammals at a regional scale in Canadian boreal forest,"Spatial synchrony is a common feature of mammalian population dynamics that appears to be caused by different processes in different systems. We sampled 60 sites across >900 km in northern and central Ontario, Canada, from 2001 to 2004 to assess spatial and temporal trends in abundance and population growth of small mammals. We tested alternative predictions for 3 causes of synchrony: dispersal, predation, and correlated environmental perturbations (the Moran effect). During 25,680 trap nights, Myodes gapperi, Tamias striatus, and Peromyscus maniculatus were the most commonly captured species. Populations of all 3 species fluctuated markedly during the 4 years of sampling, but fluctuations appeared to occur over a relatively small spatial extent (<200 km for all species). No pairwise combination of species exhibited positive interspecific synchrony, suggesting that nomadic predation was not synchronizing declines among species. Our data were most consistent with the dispersal hypothesis or a Moran effect caused through synchronous food crops. "
169,4443,Estimation of population size and trends for highly mobile species with dynamic spatial distributions," Aim To develop a more ecologically realistic approach for estimating the population size of cetaceans and other highly mobile species with dynamic spatial distributions. Location California Current Ecosystem, USA. Methods Conventional spatial density models assume a constant relationship between densities and habitat covariates over some time period, typically a survey season. The estimated population size must change whenever total habitat availability changes. For highly mobile long-lived species, however, densityhabitat relationships likely adjust more rapidly than population size. We developed an integrated population-redistribution model based on a more ecologically plausible alternative hypothesis: (1) population size is effectively constant over each survey season; (2) if habitat availability changes, then the population redistributes itself following an ideal free distribution process. Thus, the estimated relationship between densities and habitat covariates adjusts rather than population size. We constructed Bayesian hierarchical models corresponding to the conventional and alternative hypotheses and applied them to distance sampling data for Dall's porpoise (Phocoenoides dalli), a highly mobile cetacean with distribution patterns closely tied to cool sea-surface temperatures. Results The Dall's porpoise data provided strong support for the hypothesis based on an ideal free redistribution process. Our results indicate that the population size of Dall's porpoise within the survey region was relatively stable over each summer/fall survey season, but the distribution expanded and contracted with the extent of suitable habitat. Over multiple survey seasons, the model partitioned variation in observed densities among three sources: variation in population size, the densityhabitat relationship and measurement error, leading to lower and more ecologically plausible estimates of interannual variation in population size. Main conclusions We conclude that the integrated population-redistribution model (IPRM) presented here represents an ecologically plausible model for use in future assessments of the population size and dynamics of cetaceans and other highly mobile long-lived species with variable spatial distributions."
170,1043,Status of southern elephant seals at South Georgia,"Approximately 54% of the world population of southern elephant seals (Mirounga leonina) breeds at South Georgia. A partial survey in 1951 and a complete survey in 1985, together with counts at specific sites between these times, suggested that the population (around 100 000 breeding females) had not changed significantly in 34 years. This was in contrast to marked declines in most other populations. To examine this further, we conducted a third survey in 1995. This produced an estimate of 113 444 (s e = 4902) breeding females. Taking into account improved information about the behaviour of female elephant seals since the survey in 1985, there was no significant change in the number of breeding female elephant seals between 1985 and 1995. When combined with information from the 1951 survey, this supports the view that the total population size has not changed significantly during the past 45 years. Evidence for regulation of the population by environmental factors is equivocal. We hypothesize that the lack of any net change in population size may be linked to a limited availability of high quality breeding habitat."
171,4442,Abundance estimates for management of endangered false killer whales in the main Hawaiian Islands,": Effectively using the best available data to meet management mandates for endangered populations is a common conservation challenge. False killer whales <i>Pseudorca crassidens</i> occur as 3 distinct populations in Hawaiian waters, including a resident main Hawaiian Islands (MHI) population that is endangered under the US Endangered Species Act. A longitudinal, photo-identification dataset of 171 distinctive individuals and open mark-recapture methods were used to estimate current MHI false killer whale abundance as needed for management of this population. The data are from dedicated and opportunistic surveys conducted from 2000 to 2015 around the MHI and reflect unquantified spatiotemporal biases imposed by necessary sampling constraints. Accounting for temporal variation and especially social group affiliation was important in modeling capture probability. Sensitivity analyses found that the resulting time series of 16 abundance estimates is robust to some forms of sampling variability and bias. However, because the study area was partially sampled each year, the annual abundance estimates apply only to the portion of the population using the sampled area and may underestimate true population abundance. Nonetheless, the resulting estimates and supporting evidence indicate that the MHI false killer whale population is relatively small; for example, only 167 (SE = 23, 95% CI = 128-218) individuals were estimated to have used the sampled area in 2015. Until data are available to estimate or overcome sampling biases, this estimation framework offers a tool for using data that have been regularly collected each year to produce current abundance estimates that are improvements over existing management inputs."
172,2095,Population abundance and growth rate of western gray whales Eschrichtius robustus,"The western population of gray whales Eschrichtius robustus is one of the most endangered whale populations in the world. Recent studies of this population off the northeastern coast of Sakhalin Island, Russia, have produced a photographic dataset that was utilized for the first markrecapture assessment of western gray whale abundance. Given encounter histories of 129 individually identified whales spanning 25 monthly capture occasions from 1997 to 2003, a closed capture estimator was employed to estimate the number of individuals using the study area in each year. Temporary emigration probabilities were then applied to the closed capture estimates to enumerate the total population size of whales off northeastern Sakhalin Island. Total abundances from 1997 to 2003 were estimated as 64 [plus or minus] 5.1 (SE), 55 to 75 (95% CI); 75 [plus or minus] 4.9, 66 to 85; 86 [plus or minus] 3.1, 80 to 93; 77 [plus or minus] 4.7, 68 to 87; 91 [plus or minus] 3.4, 84 to 98; 98 [plus or minus] 4.1, 90 to 106; and 99 [plus or minus] 4.9, 90 to 109, respectively. These abundance estimates, particularly the last values in the series, most likely approximate the size of the entire western gray whale population. For comparison to the trend in the abundance estimates, life history data were used to estimate the growth rate of the population. Depending on the range of potential fecundity values incorporated, the resulting growth rate estimates indicate an annual population increase that is between 2.5 and 3.2%. The extremely small population size and slow rate of increase documented here further highlight concern about the viability of this critically endangered population."
173,839,Ecology of juvenile chinook salmon in a small non-natal stream of the Yukon River drainage and the role of ice conditions on their distribution and survival.,"We investigated the ecology of juvenile stream-type chinook salmon (Oncorhynchus tshawytscha) in Croucher Creek, a small non-natal tributary of the upper Yukon River, in 1998 and 1999. Underyearling (age 0+) salmon enter Croucher Creek from the Yukon River in June, and by midsummer reached an average density of >0.5/m2. Fish were most commonly found in small pools. Their mean size increased until the end of August, but growth virtually ceased after that, when water temperatures fell. Juveniles remained in the stream through winter, and their distribution and survival were strongly influenced by aufeis, a thick layer of ice that develops from the freezing of groundwater. Over-winter survival was not dependent on fish size. Those fish that survived the winter grew rapidly and doubled in body mass in the spring. About 900 yearling fish emigrated from Croucher Creek in late June and early July at a mean length of 89 mm and mass of 7.2 g. Most of the migrants overwintered in a 700 m long reach of the creek that was downstream from groundwater sources and did not experience severe icing conditions. We suggest that small streams may be important habitats for juvenile salmon in the Yukon drainage, especially if there is a year-round source of groundwater flow that creates conditions suitable for overwintering."
174,763,The fall and rise of bison populations in Wood Buffalo National Park: 1971 to 2003,"Two hypotheses have been proposed to explain the decline of bison (Bison bison (L., 1758)) abundance in Wood Buffalo National Park (WBNP). The ""disease-predation"" hypothesis proposes that tuberculosis (Mycobacterium bovis (Karlson and Lessel 1970)) and brucellosis (Brucella abortus (Schmidt 1901)) reduce bison survival and reproduction, resulting in a low-density, predator-regulated equilibrium. The ""habitat dispersion hypothesis"" proposes that bison in one area of WBNP, the Peace-Athabasca Delta (Delta), have an increased risk of predation because they are concentrated in large meadows with high temporal and spatial predictability. We incorporate bison census data, calf and yearling segregation counts, reproductive rates, adult survival rates, and adult disease incidence in a stochastic population model to show that the historical decline of bison in WBNP would have occurred regardless of disease prevalence. Our model shows that survival of juveniles, the age class that is least susceptible to disease effects, was likely an important determinant of historical changes in population size. We also demonstrate that the population decline was most pronounced in the Delta and that juvenile survival was lower in the Delta, despite evidence that disease incidence was lower in the Delta than in the rest of WBNP. Lastly, the current population trend in WBNP is one of rapid increase, even in the presence of disease. "
175,1731,Decline in whale shark size and abundance at Ningaloo Reef over the past decade: The world's largest fish is getting smaller,"Over-exploitation of whale sharks threatens the future of these wide-ranging pelagic fish. A long-term continuous record (4436 sightings) from a large aggregation (300-500 resident individuals) of whale sharks at Ningaloo Reef, Western Australia shows that mean shark length declined linearly by nearly 2.0 m and relative abundance measured from ecotourism sightings (corrected for variation in search effort and environmental stochasticity) has fallen by approximately 40% over the last decade. This population-level result confirms previous predictions of population decline based on projection models parameterised using mark-recapture estimates of survival. The majority of these changes are driven by reductions in the number of large individuals in the population. Phenomenological time series models support a deterministic (extrinsic) decline in large females, although there was some evidence for density dependence in large males. These reductions have occurred despite the total protection of whale sharks in Australian waters. As this species is highly migratory, the rapid change in population composition over a decade (<1 whale shark generation) supports the hypothesis of unsustainable mortality in other parts of their range (e.g., overfishing), rather than the alternative of long-term abiotic or biotic shifts in the environment. As such, effective conservation of whale sharks will require international protection, and collaborative tagging studies to identify and monitor migratory pathways. "
176,3498,Evidence for increases in Antarctic Blue whales based on Bayesian modelling,"Antarctic blue whales (Balaenoptera musculus intermedia) are the largest and formerly most abundant blue whale subspecies, but were hunted to near extinction last century. Estimated whaling mortality was unsustainable from 1928 to 1972 (except during 1942-1944), depleting them from 239,000 (95% interval 202,000-311,000) to a low of 360 (150-840) in 1973. Obtaining statistical evidence for subsequent increases has proved difficult due to their scarcity. We fitted Bayesian models to three sighting series (1968-2001), constraining maximum rates of increase to 12% per annum. These models indicated that Antarctic blue whales are increasing at a mean rate of 7.3% per annum (1.4%-11.6%). Informative priors based on blue whale biology (4.3%, SD = 1.9%) and a Bayesian hierarchical meta-analysis of increase rates in other blue whale populations (-0.3%, SD = 11.6%), suggest plausible increase rates are lower (although the latter has wide intervals), but a meta-analysis of other mysticetes obtains similar rates of increase (6.7%, SD = 4.0%). Possible biases affecting the input abundance estimates are discussed. Although Antarctic blue whales appear to have been increasing since Soviet illegal whaling ended in 1972, they still need to be protected - their estimated 1996 population size, 1,700 (860-2,900), was just 0.7% (03%-1.3%) of the pre-exploitation level."
177,2377,,"The Eagle Owl has been considered extinct in Hesse. western Germany. since 1910. Reasons for its disappearance were mainly persecution by shooting, but also by egg collecting and 'trophy hunting' etc. As late as 1925 a pair of Eagle Owls was shot at Creuzburg near the border between Thuringia and Hesse. The main reasons for the reappearance of the Eagle Owl in Hesse are reintroduction programmes in adjacent regions like Lower Saxony and Northrhine-Westphalia. Through these successful programmes the Eagle Owl also reappeared in Hesse and bred for the first time successfully in 1977 in the district of Limburg-Weilburg. Since then numbers of breeding pairs increased slowly, but by 1985 had reached only four pairs. In the early 1990s a rapid growth started and in 1993 a total of 43 Eagle Owl territories were occupied with an average reproductive output of 1.93 young per pair. During the mid-1990s there was a decline in reproductive success in Hesse, the number of fledglings per pair dropped to 1.0-12. An exception was the Hessian Weserbergland with a rate of usually 2.0 young per pair. In the year 2000 the rate increased to 1.4-1.6 young per pair overall and the total population grew up to 58-60 pairs. Although shooting has been eliminated and pesticide contamination is of minor importance, many Eagle Owls are killed by collisions with wires, vehicles and by electrocution. Inbreeding depression - seriously discussed especially for the reintroduction project - did not play a role among captive-breeding Eagle Owls nor among the released birds. On the contrary the reintroduced Eagle Owls showed a high fitness, which was evident in a higher reproductive rate in the initial stage compared to other federal states (e.g. Baden-Wuerttemberg, Bavaria and Thuringia). Competition for nest sites with other birds does not occur in Eagle Owls. because it is the dominant, prevailing species. I predict that the number of Eagle Owls in Hesse will increase further because there are still vacant potential breeding habitats. Eagle Owls show very high flexibility and are now by far less prone to disturbance than the founder population, plus they occupy more and more secondary breeding habitats."
178,3266,Responses of autumn staging waterbirds to wetland restoration and water levels in a Danish river delta,"A 2,200 ha wetland in the Danish Skjern River valley was restored between 1999-2002, partly to re-establish a rich community of migratory waterbirds, in a project which aimed to restore the nutrient retention capacity of the area and to improve its overall value for wildlife and humans. Numbers, distribution and foraging activity of waterbirds were monitored over the first four years after restoration, between late August and late November in 2002-2005. The restoration turned the western part of the project area into important feeding and roosting habitat especially for dabbling ducks, but also for herons, swans, coots and waders during their autumn migration. A total of 109 waterbird species were observed inside the restoration area. Dabbling ducks exploited the area extensively, with Wigeon Anaspenelope as the most numerous species reaching up to 12,600 individuals. There was no clear increase or decrease in the number of bird-days for geese, swans, dabbling ducks and Coot Fulica atra over the first four years after restoration, except for Gadwall A. strepera and Shoveler A. clypeata which were not numerous in the first autumn. The number of bird-days increased over the study period for three species of diving ducks and decreased for two species of waders. The proportion of dabbling ducks recorded feeding during the day was high in three years (range of annual means for six species = 29-76%) but low in one year (range = 9-44%). Many ducks also flew at dusk to feed in adjacent fields and other wetlands. In shallow lakes numbers of Coot and some species of dabbling ducks decreased with increasing water levels, whereas diving duck numbers increased. "
179,2439,Density dependence in a recovering osprey population: demographic and behavioural processes,"1. Understanding how density-dependent and independent processes influence demographic parameters, and hence regulate population size, is fundamental within population ecology. We investigated density dependence in growth rate and fecundity in a recovering population of a semicolonial raptor, the osprey Pandion haliaetus [Linnaeus, 1758], using 31 years of count and demographic data in Corsica. 2. The study population increased from three pairs in 1974 to an average of 22 pairs in the late 1990s, with two distinct phases during the recovery (increase followed by stability) and contrasted trends in breeding parameters in each phase. 3. We show density dependence in population growth rate in the second phase, indicating that the stabilized population was regulated. We also show density dependence in productivity (fledging success between years and hatching success within years). 4. Using long-term data on behavioural interactions at nest sites, and on diet and fish provisioning rate, we evaluated two possible mechanisms of density dependence in productivity, food depletion and behavioural interference. 5. As density increased, both provisioning rate and the size of prey increased, contrary to predictions of a food-depletion mechanism. In the time series, a reduction in fledging success coincided with an increase in the number of non-breeders. Hatching success decreased with increasing local density and frequency of interactions with conspecifics, suggesting that behavioural interference was influencing hatching success. 6. Our study shows that, taking into account the role of non-breeders, in particular in species or populations where there are many floaters and where competition for nest sites is intense, can improve our understanding of density-dependent processes and help conservation actions. "
180,3009,"Detecting an increase in an Endangered huemul Hippocamelus bisulcus population following removal of cattle and cessation of poaching in coastal Patagonia, Chile.","The conservation of threatened species poses many challenges but through cooperation and pooling of resources, individuals and organizations can work together to achieve better results. Here we describe our experience, working through a governmental and private alliance, studying one of the most threatened mammals in the Southern Cone. The huemul deer Hippocamelus bisulcus, one of two members of the Hippocamelus genus of South America, is endemic to Argentina and Chile and currently inhabits only a small fraction of its former range. Little is known about the huemul because it generally lives in remote areas with a harsh climate and rugged terrain. Using drive counts and fixed width transects over 5 consecutive years (20042008) we estimated density and abundance, and examined population changes and social structure, in three coastal huemul populations in the area of the Témpanos and Bernardo fjords of Bernardo OHiggins National Park, Chile. Our results suggest that synergistic conservation actions, such as cattle removal and poaching control, can lead to the recovery of threatened huemul. The baseline information obtained from our surveys and the lessons learned through this governmental and private alliance will be useful for future monitoring of the huemul in the Patagonian fjords of Chile."
181,4314,"Distribuzione, consistenza ed evoluzione delle popolazioni di basettino Panurus biarmicus nidificanti in Italia nel periodo 1980-2006","In Italy the bearded parrotbill Panurus biarmicus nests mainly in the eastern part of the Po Valley, with some localized populations near the lakes of Tuscany (Chiusi, Montepulciano, Massaciuccoli) and of Umbria (Colfiorito and Trasimeno); the southern limit of its breeding range is around the coastal wetlands in Apulia (Lago Salso). At present, 85% of the population is concentrated in three regions (Veneto, Friuli-Venezia Giulia and Emilia Romagna), the remaining 15% being in Lombardy, Tuscany, Umbria and Apulia. After an expansion that began in the '70s, in the late '90s this species has experienced a decline both in the breeding range and in the number of individuals; these phenomena got worse in the early 2000. In the period 2003-2006 the breeding population in Italy was estimated at 590-840 pairs, whereas in the mid '80s it had been estimated at 4,000-10,000 pairs (although we think these latter figures were too high). The negative trend could be accounted for, at least locally, the loss of suitable habitat (i.e. the burning of reedbeds in late winter, changes in water levels, and, lately, by the heavy presence of Myocastor coypus, which causes changes in the extent and structure of reedbeds). "
